english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_acceptable,context
"So, you guys are good?",Så ni är duktiga?,"Så, allt bra här?","Så, är ni grabbar okej?","[""LF"", ""BET"", ""PR""]",False,"[""Toki, pulls yourself together!"", ""[bleep] Skwisgaar, I should have backed those sessions up."", ""I mean I really should have."", ""Yeah, you should have backed those sessions up!"", ""You'd do well to keep quiet, all right?"", ""Oh [bleep] Skwisgaar, you know what this means, right?"", ""CHARLES:"", ""Uh, guys, Murderface and Toki are waiting for you to meet them, they want to pitch their song to you."", ""Even if you don't like it, say something nice, okay?"", ""Whatever.""]"
You got your coffee?,Har du ditt kaffe?,Fick ni ert kaffe?,Har ni ert kaffe?,"[""GR"", ""BET""]",False,"[""I mean I really should have."", ""Yeah, you should have backed those sessions up!"", ""You'd do well to keep quiet, all right?"", ""Oh [bleep] Skwisgaar, you know what this means, right?"", ""CHARLES:"", ""Uh, guys, Murderface and Toki are waiting for you to meet them, they want to pitch their song to you."", ""Even if you don't like it, say something nice, okay?"", ""Whatever."", ""So, you guys are good?"", ""Yeah.""]"
"Until we figure out what this is, nobody in or out.",Tills vi vet vad det här är. Ingen går in eller ut.,Tills vi listat ut vad det här är går ingen varken in eller ut,"Tills vi listat ut vad det här är, ingen in eller ut.","[""SEM"", ""PR""]",False,"[""- Naomi."", ""- Yeah, I know."", ""I see it."", ""Not just Sister Helen and Sister Virginia."", ""- Sam."", ""- Hey !"", ""No, no !"", ""Don't come in !"", ""This building is a hot zone."", ""Lock it down.""]"
"Let's go, Falcons","Sätt fart, Falcons.","Kom igen, Falcons.","Kom igen, Falcons!","[""SEM""]",True,"[""A Bernoulli effect."", ""You are seriously superior."", ""We would be honored to have you as a member of our science team."", ""Yeah, thanks for the accolades."", ""Everybody, go"", ""Let's go, Falcons"", ""Let's go, Falcons"", ""Last time!"", ""Everybody, go"", ""Let's go, Falcons""]"
Change into some fresh clothes.,Byt till nya kläder.,Byt om till fräscha kläder,Byt till lite rena kläder.,"[""SAK"", ""SEM""]",True,"[""Hey!"", ""I'm sorry."", ""The dojang closed down."", ""The Director ran off."", ""I didn't get paid, and I didn't get to say bye to the kids."", ""Find another dojang."", ""Be a man about it. will you?"", ""Just shake it off."", ""Shake it off?"", ""Easy for you to say.""]"
You look like a wet mouse.,Du ser ut som en våt mus.,Du ser ut som en blöt mus,Du ser ut som en blöt mus.,"[""SEM""]",True,"[""I'm sorry."", ""The dojang closed down."", ""The Director ran off."", ""I didn't get paid, and I didn't get to say bye to the kids."", ""Find another dojang."", ""Be a man about it. will you?"", ""Just shake it off."", ""Shake it off?"", ""Easy for you to say."", ""Change into some fresh clothes.""]"
Just take the rice out.,Ta bara bort riset.,Bara ta ut riset,Ta bara ut riset.,"[""LF"", ""GR"", ""BET""]",False,"[""Find another dojang."", ""Be a man about it. will you?"", ""Just shake it off."", ""Shake it off?"", ""Easy for you to say."", ""Change into some fresh clothes."", ""You look like a wet mouse."", ""Kimchi fried rice?"", ""You can make that too?"", ""You don't seem like the type.""]"
But how could he have a vendetta against me?,Men hur kunde han ha en vendetta mot mig?,Men hur skulle han kunna ha en vendetta mot mig?,Men hur skulle han kunna ha ett vendetta mot mig?,"[""SEM""]",False,"[""Offer to help him in return for Ladybug's Miraculous."", ""I can help you crush Ladybug but you must give me her Miraculus."", ""No... problem."", ""(He cackles.)"", ""Yes... yes."", ""Once I have Ladybug's Miraculus, taking Cat Noir's will be child's play!"", ""You have to leave."", ""Kim's turned into Dark Cupid."", ""He can't find you here."", ""Me?""]"
That is boiling.,Det är kokande.,Det är kokhett,Det kokar.,"[""DIR"", ""SEM""]",False,"[""Whoops."", ""Why are you so slippery?"", ""I just remembered, I'm covered in oil."", ""No!"", ""Egg, stay still!"", ""Oh, Harvey, let me help."", ""Jeremy, no!"", ""Go home!"", ""I can handle this."", ""Wow, okay.""]"
No kids allowed unless accompanied by an adult?,Inga barn tillåts om de inte åtföljs av en vuxen?,Inga barn tillåtna utan vuxet sällskap?,Inga barn tillåtna om de inte åtföljs av en vuxen?,"[""GR"", ""PR""]",False,"[""Oh, Harvey, let me help."", ""Jeremy, no!"", ""Go home!"", ""I can handle this."", ""Wow, okay."", ""That is boiling."", ""Ow, ow, ow."", ""The Super Hot Springs!"", ""She'll hard-boil if she stays in there."", ""What the...""]"
So maybe don't ask me.,Fråga mig inte.,Fråga inte mig då,Så kanske fråga inte mig.,"[""SEM"", ""PR""]",False,"[""Which we're gonna try to see if we can manage to find."", ""Um, it's been many years ago."", ""- We're gonna try to find them."", ""- Almost 20 years ago."", ""This one."", ""I think it was on michigan, guys."", ""- No, i think it's--"", ""- I think it's this one."", ""All i know is i got lost coming here the first time."", ""I almost didn't get in the group because of that.""]"
It was a constant work in progress.,Det var ett fortlöpande arbete som pågick.,Det var ett ständigt pågående arbete,Det var ett ständigt pågående arbete.,"[""SEM"", ""PR""]",True,"[""- Holy crap."", ""- This is it."", ""It is."", ""We're here now."", ""26/42"", ""We were busting our fucking ass in this warehouse here,"", ""Day in and day out all day long."", ""Itwaslike a wood stage that we put up."", ""Wehadabunchofmirrors."", ""It was hot as hell.""]"
"So, as the piggy's getting into the food,","Så, när grisen kommer in i maten,","Så, när grisen börjar äta maten","Så, medan grisen går loss på maten,","[""DIR"", ""SEM""]",True,"[""Will grab on to the lube"", ""And make it so that I can actually"", ""Hold on to the pig easily."", ""Narrator:"", ""Well, that's one part of kari's tactic."", ""But to make the pigs come to her,"", ""She's got a secret ingredient."", ""You ever heard, \""eat like a pig?\"""", ""Well, I found some things"", ""That are irresistible to the swine.""]"
"I'm gonna sneak up right behind him,",Jag smyger mig upp bakom honom.,"Kommer jag smyga upp precis bakom honom,","smyger jag upp precis bakom honom,","[""GR"", ""PR""]",True,"[""And make it so that I can actually"", ""Hold on to the pig easily."", ""Narrator:"", ""Well, that's one part of kari's tactic."", ""But to make the pigs come to her,"", ""She's got a secret ingredient."", ""You ever heard, \""eat like a pig?\"""", ""Well, I found some things"", ""That are irresistible to the swine."", ""So, as the piggy's getting into the food,""]"
Get right in the blind spot [blows] and pick him up.,Gå rakt in i den blinda fläcken och plocka upp honom.,Hamna rätt i blinda fläcken [blåser] och plocka upp honom,tar mig in i döda vinkeln [blåser] och lyfter upp honom.,"[""LF"", ""SEM""]",True,"[""Hold on to the pig easily."", ""Narrator:"", ""Well, that's one part of kari's tactic."", ""But to make the pigs come to her,"", ""She's got a secret ingredient."", ""You ever heard, \""eat like a pig?\"""", ""Well, I found some things"", ""That are irresistible to the swine."", ""So, as the piggy's getting into the food,"", ""I'm gonna sneak up right behind him,""]"
"With plungers attached to vacuum hoses,","med kolvar fästade på vakuumslangar,",Med vaskrensare fästa på dammsugarslangar,"Med sugproppar fastsatta vid dammsugarslangar,","[""LF"", ""GR"", ""BET""]",False,"[""That are irresistible to the swine."", ""So, as the piggy's getting into the food,"", ""I'm gonna sneak up right behind him,"", ""Get right in the blind spot [blows] and pick him up."", ""Narrator:"", ""Kari's finished,"", ""But tory's idea is just starting to come together."", ""And although it may seem like"", ""Something from the cartoon villain handbook... [ imitates pig squealing ]"", ""Narrator: ...""]"
it's quite cool.,Det är ganska coolt.,Den är ganska sval,det är ganska svalt.,"[""LF"", ""GR"", ""BET""]",False,"[""That's your wedding present."", ""\u2500 Uhuh."", ""It was nice."", ""So, let's hit the hay."", ""It's getting late."", ""You'll sleep on the upper bunk."", ""It's easier for you to climb, and I'll take this one."", ""Wait, I'll help you."", ""Goodnight Peggy."", ""Goodnight Mr Marko.""]"
My blade flashed in the sunlight.,Mitt klinga blinkade i solljuset.,Min klinga blänkte i solljuset,Mitt blad blixtrade i solljuset.,"[""GR"", ""SEM""]",False,"[""If you cut off both of his arms, how could he pick up his head?"", ""He picked it up with his teeth."", ""Oh."", ""Well, I fought my way closer and closer to Governor Elden."", ""My eyes watering, my nostrils burning with the smell of smoke."", ""If you were fighting a sword battle, where did the smoke come from?"", ""Why, it was a hot battle."", ""Then suddenly..."", ""Suddenly I was surrounded by six men, no five."", ""The Governor's personal guard.""]"
"A thrust, a parry and a feint.","En stöt, en parodi och en fientlig.","En stöt, en parering och en fint","En stöt, en parering och en fint.","[""ST"", ""LF"", ""BET""]",True,"[""He picked it up with his teeth."", ""Oh."", ""Well, I fought my way closer and closer to Governor Elden."", ""My eyes watering, my nostrils burning with the smell of smoke."", ""If you were fighting a sword battle, where did the smoke come from?"", ""Why, it was a hot battle."", ""Then suddenly..."", ""Suddenly I was surrounded by six men, no five."", ""The Governor's personal guard."", ""My blade flashed in the sunlight.""]"
By the earth's clock.,Vid jordens klocka.,Jordetid,Vid jordens klocka.,"[""DIR"", ""BET""]",False,"[""You wanted to see me, Mother?"", ""You may leave his care to others."", ""Well, thank you... but I would prefer to stay on until I'm certain that he's well."", ""That was a command, not a request."", ""Am I allowed to ask why?"", ""- You are very intelligent."", ""- I am your daughter."", ""There are so many things you don't know."", ""- Do you have any idea of your age?"", ""- By what standard?""]"
What happened out there tonight?,Vad hände där ute ikväll?,Vad hände där ute inatt?,Vad hände där ute i kväll?,"[""LF""]",False,"[""We always work more than they do, sheriff."", ""Actually, they did have to work tonight."", ""Norvel and Sandy went out to Catfish Cove, and they run into Jay Boy Simpson."", ""That was one hell of a fight."", ""Hey, ain't that my bat?"", ""Ow!"", ""Well, it ain't love beautiful."", ""Ain't love beautiful."", ""Hey, Jake, how about a round of shots for the table and three beers?"", ""Table number seven.""]"
Nice flow.,Snyggt flöde.,Bra flyt,Snyggt flyt.,"[""SL"", ""LF"", ""BET""]",False,"[""He thinks he knows everything."", ""~ In the United States, we do a thing where we customise our cars."", ""~ Yeah."", ""~ Can I just give you another one?"", ""~ This is brilliant."", ""Just Cruisin'."", ""The Maestro."", ""Do you know the next bit?"", ""~ Yes, yes, yes."", ""~ Nice flow.""]"
"Stupidity, however, is not a necessarily inherent trait.",Dumheter är emellertid inte nödvändigtvis ett inneboende drag.,"Dumhet är, hursomhelst, inte nödvändigt en medfödd egenskap","Dumhet, däremot, är inte nödvändigtvis en medfödd egenskap.","[""LF"", ""BET"", ""PR""]",True,"[""I do not ask youto understand these tests."", ""I'm not cruel."", ""I just ask youto get out, so I can finish my work!"", ""We are here to conduct Laura Palmer's body to the cemetery."", ""If youthink we're gonna leave without her, youare crazy!"", ""All right, all right, all right!"", ""Mr Rosenfield, please."", ""Leland Palmer couldn't be with us today, but I know I speak for everyone, the Palmer family included, when I say that we appreciate and understand the value of your work."", ""But, as their representative, I must insist that we consider the feelings of the Palmer family as well."", ""Mr Horne, I realise that your position in this fair community pretty well guarantees venality, insincerity and a rather irritating method of expressing yourself.""]"
"A dagger, perhaps?","En dolk, kanske?","En dolk, möjligtvis?","En dolk, kanske?","[""PR""]",False,"[""Here, put some balm on your upper lip."", ""It'll help mask the stench."", ""And what has Yorick to say for himself?"", ""Quite a bit, actually."", ""There's evidence of arthritis."", ""Age, approximately 40 years."", ""Did you happen to notice anything unusual on the upper torso?"", ""Very good, William."", ""There's a nick in one of the ribs."", ""Any idea of the weapon?""]"
We've thought of a gift.,Vi har tänkt på en gåva.,Vi har tänkt ut en present,Vi har tänkt på en gåva.,"[""SEM""]",False,"[""What do we do now?"", ""There's only one answer."", ""We have to hide our women."", ""-Exactly."", ""But we don't know where they are."", ""Simone celebrates her birthday here every year."", ""On the same date."", ""Without you?"", ""-Women only."", ""Quiet, please.""]"
"Simone, your gift.","Simone, din gåva.","Simone, din present","Simone, din gåva.","[""PR""]",False,"[""What did you do now?"", ""Look."", ""He's great."", ""Plenty of money."", ""He's your last customer."", ""No, I am."", ""Come, Simone."", ""You too."", ""Fran\u00e7ois's waiting in the car."", ""Come, we have to go.""]"
Doesn't matter.,Det gör inget.,Spelar ingen roll,Spelar ingen roll.,"[""SEM""]",True,"[""Go Go Gadget selfie cam."", ""[BOOM] Woah!"", ""[ROARS]"", ""Wowsers, reminds me of our last family reunion in Banff."", ""Wowsers, time for the old Highland Dance."", ""Go Go Gadget megaphone."", ""[CELTIC MUSIC]"", ""Wowsers!"", ""Wooaah!"", ""Not exactly what I was planning.""]"
